부산역,부산 동구 초량동 1202,35.1136770532736,129.039074206619
UN기념공원,부산 남구 대연동 779-4,35.1272765346558,129.095399098538
부산박물관,부산 남구 대연동 1022,35.13162019591,129.088961009358
용호만유람선터미널,부산 남구 용호동 176-53,35.1320415780277,129.113653948647
광안리해수욕장,부산 수영구 광안동 205,35.1583259277423,129.116818858813
"마린시티
(수영만요트경기장)",부산 해운대구 우동 1393,35.1605866724248,129.139946161879
동백섬,부산 해운대구 우동 1445,35.1570094978671,129.149511281937
해운대해수욕장,부산 해운대구 중동 1414-1,35.1597135263412,129.162162943005
센텀시티(영화의전당),부산 해운대구 우동 1524,35.1675193551476,129.133773157282
시립미술관.벡스코,부산 해운대구 우동 1127-45,35.1673962973814,129.136939162352
평화공원,부산 남구 대연동 699-3,35.1269440937354,129.101553940953
광복로,부산 중구 중앙동6가 9-1,35.0996812704273,129.036642766596
